genome_id	AMR_org	antibiotic	measurement	measurement_unit	laboratory_typing_method	genome_name	POS_QC_amikacin	POS_QC_chloramphenicol	POS_QC_ciprofloxacin	POS_QC_gentamicin	POS_QC_meropenem	POS_QC_amoxicillin	POS_QC_amoxicillin_clavulanic_acid	POS_QC_cefepime	POS_QC_ceftazidime	POS_QC_tigecycline	QC_amikacin	QC_chloramphenicol	QC_ciprofloxacin	QC_gentamicin	QC_meropenem	QC_amoxicillin	QC_amoxicillin_clavulanic_acid	QC_cefepime	QC_ceftazidime	QC_tigecycline
B17	B_ESCHR_COLI	amikacin	1	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P
B17	B_ESCHR_COLI	chloramphenicol	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P
B17	B_ESCHR_COLI	ciprofloxacin	>4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P
B17	B_ESCHR_COLI	gentamicin	64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P
B17	B_ESCHR_COLI	meropenem	0.125	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P
B17	B_ESCHR_COLI	amoxicillin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P
B17	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P
B17	B_ESCHR_COLI	cefepime	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P
B17	B_ESCHR_COLI	ceftazidime	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P
B17	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P
B1	B_ESCHR_COLI	amikacin	4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P
B1	B_ESCHR_COLI	chloramphenicol	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P
B1	B_ESCHR_COLI	ciprofloxacin	0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P
B1	B_ESCHR_COLI	gentamicin	64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P
B1	B_ESCHR_COLI	meropenem	0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P
B1	B_ESCHR_COLI	amoxicillin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P
B1	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P
B1	B_ESCHR_COLI	cefepime	16	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P
B1	B_ESCHR_COLI	ceftazidime	8	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P
B1	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P
B10	B_ESCHR_COLI	amikacin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P
B10	B_ESCHR_COLI	chloramphenicol	4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P
B10	B_ESCHR_COLI	ciprofloxacin	0.015	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P
B10	B_ESCHR_COLI	gentamicin	16	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P
B10	B_ESCHR_COLI	meropenem	<0.004	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P
B10	B_ESCHR_COLI	amoxicillin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P
B10	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P
B10	B_ESCHR_COLI	cefepime	32	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P
B10	B_ESCHR_COLI	ceftazidime	16	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P
B10	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P
B18	B_ESCHR_COLI	amikacin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P
B18	B_ESCHR_COLI	chloramphenicol	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P
B18	B_ESCHR_COLI	ciprofloxacin	0.008	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P
B18	B_ESCHR_COLI	gentamicin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P
B18	B_ESCHR_COLI	meropenem	0.015	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P
B18	B_ESCHR_COLI	amoxicillin	8	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P
B18	B_ESCHR_COLI	amoxicillin_clavulanic_acid	8	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P
B18	B_ESCHR_COLI	cefepime	4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P
B18	B_ESCHR_COLI	ceftazidime	0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P
B18	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P
B2	B_ESCHR_COLI	amikacin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P
B2	B_ESCHR_COLI	chloramphenicol	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P
B2	B_ESCHR_COLI	ciprofloxacin	>4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P
B2	B_ESCHR_COLI	gentamicin	64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P
B2	B_ESCHR_COLI	meropenem	0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P
B2	B_ESCHR_COLI	amoxicillin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P
B2	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P
B2	B_ESCHR_COLI	cefepime	0.125	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P
B2	B_ESCHR_COLI	ceftazidime	0.25	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P
B2	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P
B11	B_ESCHR_COLI	amikacin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P
B11	B_ESCHR_COLI	chloramphenicol	4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P
B11	B_ESCHR_COLI	ciprofloxacin	>4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P
B11	B_ESCHR_COLI	gentamicin	64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P
B11	B_ESCHR_COLI	meropenem	<0.004	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P
B11	B_ESCHR_COLI	amoxicillin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P
B11	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P
B11	B_ESCHR_COLI	cefepime	<0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P
B11	B_ESCHR_COLI	ceftazidime	0.5	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P
B11	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P
B19	B_ESCHR_COLI	amikacin	1	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	W	W	P	P	P	W	P	P
B19	B_ESCHR_COLI	chloramphenicol	8	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	W	W	P	P	P	W	P	P
B19	B_ESCHR_COLI	ciprofloxacin	0.125	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	W	W	P	P	P	W	P	P
B19	B_ESCHR_COLI	gentamicin	1	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	W	W	P	P	P	W	P	P
B19	B_ESCHR_COLI	meropenem	0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	W	W	P	P	P	W	P	P
B19	B_ESCHR_COLI	amoxicillin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	W	W	P	P	P	W	P	P
B19	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	W	W	P	P	P	W	P	P
B19	B_ESCHR_COLI	cefepime	8	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	W	W	P	P	P	W	P	P
B19	B_ESCHR_COLI	ceftazidime	16	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	W	W	P	P	P	W	P	P
B19	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	W	W	P	P	P	W	P	P
B3	B_ESCHR_COLI	amikacin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	W	P	P	P	P	W	P
B3	B_ESCHR_COLI	chloramphenicol	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	W	P	P	P	P	W	P
B3	B_ESCHR_COLI	ciprofloxacin	0.008	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	W	P	P	P	P	W	P
B3	B_ESCHR_COLI	gentamicin	1	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	W	P	P	P	P	W	P
B3	B_ESCHR_COLI	meropenem	0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	W	P	P	P	P	W	P
B3	B_ESCHR_COLI	amoxicillin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	W	P	P	P	P	W	P
B3	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	W	P	P	P	P	W	P
B3	B_ESCHR_COLI	cefepime	<0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	W	P	P	P	P	W	P
B3	B_ESCHR_COLI	ceftazidime	0.25	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	W	P	P	P	P	W	P
B3	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	W	P	P	P	P	W	P
B12	B_ESCHR_COLI	amikacin	1	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	F	P	P	P	W	P
B12	B_ESCHR_COLI	chloramphenicol	4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	F	P	P	P	W	P
B12	B_ESCHR_COLI	ciprofloxacin	0.008	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	F	P	P	P	W	P
B12	B_ESCHR_COLI	gentamicin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	F	P	P	P	W	P
B12	B_ESCHR_COLI	meropenem	<0.004	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	F	P	P	P	W	P
B12	B_ESCHR_COLI	amoxicillin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	F	P	P	P	W	P
B12	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	F	P	P	P	W	P
B12	B_ESCHR_COLI	cefepime	<0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	F	P	P	P	W	P
B12	B_ESCHR_COLI	ceftazidime	0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	F	P	P	P	W	P
B12	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	F	P	P	P	W	P
B20	B_ESCHR_COLI	amikacin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	P	P	W	P	P
B20	B_ESCHR_COLI	chloramphenicol	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	P	P	W	P	P
B20	B_ESCHR_COLI	ciprofloxacin	0.125	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	P	P	W	P	P
B20	B_ESCHR_COLI	gentamicin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	P	P	W	P	P
B20	B_ESCHR_COLI	meropenem	0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	P	P	W	P	P
B20	B_ESCHR_COLI	amoxicillin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	P	P	W	P	P
B20	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	P	P	W	P	P
B20	B_ESCHR_COLI	cefepime	8	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	P	P	W	P	P
B20	B_ESCHR_COLI	ceftazidime	16	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	P	P	W	P	P
B20	B_ESCHR_COLI	tigecycline	0.125	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	P	P	W	P	P
B4	B_ESCHR_COLI	amikacin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	W	P	P	W	P
B4	B_ESCHR_COLI	chloramphenicol	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	W	P	P	W	P
B4	B_ESCHR_COLI	ciprofloxacin	0.008	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	W	P	P	W	P
B4	B_ESCHR_COLI	gentamicin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	W	P	P	W	P
B4	B_ESCHR_COLI	meropenem	0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	W	P	P	W	P
B4	B_ESCHR_COLI	amoxicillin	4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	W	P	P	W	P
B4	B_ESCHR_COLI	amoxicillin_clavulanic_acid	8	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	W	P	P	W	P
B4	B_ESCHR_COLI	cefepime	<0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	W	P	P	W	P
B4	B_ESCHR_COLI	ceftazidime	0.125	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	W	P	P	W	P
B4	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	P	W	P	P	W	P
B13	B_ESCHR_COLI	amikacin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	W	P	P	P	W	P
B13	B_ESCHR_COLI	chloramphenicol	4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	W	P	P	P	W	P
B13	B_ESCHR_COLI	ciprofloxacin	0.008	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	W	P	P	P	W	P
B13	B_ESCHR_COLI	gentamicin	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	W	P	P	P	W	P
B13	B_ESCHR_COLI	meropenem	0.008	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	W	P	P	P	W	P
B13	B_ESCHR_COLI	amoxicillin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	W	P	P	P	W	P
B13	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	W	P	P	P	W	P
B13	B_ESCHR_COLI	cefepime	<0.03	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	W	P	P	P	W	P
B13	B_ESCHR_COLI	ceftazidime	0.5	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	W	P	P	P	W	P
B13	B_ESCHR_COLI	tigecycline	<0.0625	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	P	P	W	P	P	P	W	P
B21	B_ESCHR_COLI	amikacin	16	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	P	P	P	P	P	P
B21	B_ESCHR_COLI	chloramphenicol	2	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	P	P	P	P	P	P
B21	B_ESCHR_COLI	ciprofloxacin	>4	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	P	P	P	P	P	P
B21	B_ESCHR_COLI	gentamicin	>64	mg/L	Agar dilution	Escherichia coli	2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	P	P	P	P	P	P
