POS_QC_amikacin	POS_QC_chloramphenicol	POS_QC_ciprofloxacin	POS_QC_gentamicin	POS_QC_meropenem	POS_QC_amoxicillin	POS_QC_amoxicillin_clavulanic_acid	POS_QC_cefepime	POS_QC_ceftazidime	POS_QC_tigecycline	QC_amikacin	QC_chloramphenicol	QC_ciprofloxacin	QC_gentamicin	QC_meropenem	QC_amoxicillin	QC_amoxicillin_clavulanic_acid	QC_cefepime	QC_ceftazidime	QC_tigecycline	genome_id	date_collected	lca_class	AMR_org	antibiotic	measurement	laboratory_typing_method	measurement_unit	resistant_phenotype
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Piperacillin/Tazobactam	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Cefalexin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Cefpodoxime	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Cefoxitin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Ciprofloxacin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Gentamicin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Amikacin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Tigecycline	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Meropenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Ertapenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Ampicillin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	amikacin	1	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	chloramphenicol	2	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	ciprofloxacin	>4	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	gentamicin	64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	meropenem	0.125	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	amoxicillin	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	cefepime	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	ceftazidime	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	tigecycline	<0.0625	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Co-amoxyclav	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Piperacillin/Tazobactam	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Cefalexin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Cefpodoxime	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Cefoxitin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Ciprofloxacin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Gentamicin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Amikacin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Tigecycline	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Meropenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Ertapenem	NA	Disk diffusion	NA	I
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	W	P	P	W	P	P	W	P	P	B17	2017-01-24	1	B_ESCHR_COLI	Ampicillin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	amikacin	4	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	chloramphenicol	2	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	ciprofloxacin	0.03	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	gentamicin	64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	meropenem	0.03	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	amoxicillin	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	cefepime	16	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	ceftazidime	8	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	tigecycline	<0.0625	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Co-amoxyclav	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Piperacillin/Tazobactam	NA	Disk diffusion	NA	I
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Cefalexin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Cefpodoxime	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Cefoxitin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Ciprofloxacin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Gentamicin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Tigecycline	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Meropenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Ertapenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	W	P	P	W	W	P	B1	2018-02-17	4	B_ESCHR_COLI	Ampicillin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	amikacin	2	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	chloramphenicol	4	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	ciprofloxacin	0.015	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	gentamicin	16	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	meropenem	<0.004	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	amoxicillin	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	cefepime	32	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	ceftazidime	16	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	tigecycline	<0.0625	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Co-amoxyclav	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Piperacillin/Tazobactam	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Cefalexin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Cefpodoxime	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Cefoxitin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Ciprofloxacin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Gentamicin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Amikacin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Meropenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Ertapenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	P	P	P	W	P	P	P	W	P	P	B10	2017-01-15	7	B_ESCHR_COLI	Ampicillin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	amikacin	2	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	chloramphenicol	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	ciprofloxacin	0.008	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	gentamicin	2	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	meropenem	0.015	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	amoxicillin	8	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	amoxicillin_clavulanic_acid	8	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	cefepime	4	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	ceftazidime	0.0625	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	tigecycline	<0.0625	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Co-amoxyclav	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Piperacillin/Tazobactam	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Cefalexin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Cefpodoxime	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Cefoxitin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Ciprofloxacin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Gentamicin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Amikacin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Meropenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Ertapenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	F	P	W	P	P	W	P	P	B18	2017-01-25	5	B_ESCHR_COLI	Ampicillin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	amikacin	2	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	chloramphenicol	2	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	ciprofloxacin	>4	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	gentamicin	64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	meropenem	0.03	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	amoxicillin	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	cefepime	0.125	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	ceftazidime	0.25	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	tigecycline	<0.0625	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Co-amoxyclav	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Piperacillin/Tazobactam	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Cefalexin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Cefpodoxime	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Cefoxitin	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Ciprofloxacin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Gentamicin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Tigecycline	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Meropenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Ertapenem	NA	Disk diffusion	NA	S
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	P	P	P	P	W	W	P	B2	2018-03-09	8	B_ESCHR_COLI	Ampicillin	NA	Disk diffusion	NA	R
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P	B11	2017-01-18	4	B_ESCHR_COLI	amikacin	2	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	P	W	W	P	P	P	P	W	P	B11	2017-01-18	4	B_ESCHR_COLI	chloramphenicol	4	Agar dilution	mg/L	NA
