study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB4681	SAMEA2204866	ERX400572	ERR434297	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434297/ERR434297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434297/ERR434297_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434297/11657_5#39.cram	
PRJEB4681	SAMEA2204869	ERX400573	ERR434298	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434298/ERR434298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434298/ERR434298_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434298/11657_5#40.cram	
PRJEB4681	SAMEA2204870	ERX400574	ERR434299	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434299/ERR434299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434299/ERR434299_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434299/11657_5#41.cram	
PRJEB4681	SAMEA2204876	ERX400575	ERR434300	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434300/ERR434300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434300/ERR434300_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434300/11657_5#42.cram	
PRJEB4681	SAMEA2204889	ERX400576	ERR434301	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434301/ERR434301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434301/ERR434301_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434301/11657_5#43.cram	
PRJEB4681	SAMEA2204913	ERX400577	ERR434302	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434302/ERR434302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434302/ERR434302_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434302/11657_5#44.cram	
PRJEB4681	SAMEA2204960	ERX400578	ERR434303	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434303/ERR434303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434303/ERR434303_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434303/11657_5#45.cram	
PRJEB4681	SAMEA2205008	ERX400579	ERR434304	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434304/ERR434304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434304/ERR434304_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434304/11657_5#46.cram	
PRJEB4681	SAMEA2205039	ERX400580	ERR434305	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434305/ERR434305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434305/ERR434305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434305/11657_5#47.cram	
PRJEB4681	SAMEA2205057	ERX400581	ERR434306	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434306/ERR434306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434306/ERR434306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434306/11657_5#48.cram	
PRJEB4681	SAMEA2205080	ERX400582	ERR434307	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434307/ERR434307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434307/ERR434307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434307/11657_5#49.cram	
PRJEB4681	SAMEA2205100	ERX400583	ERR434308	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434308/ERR434308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434308/ERR434308_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434308/11657_5#50.cram	
PRJEB4681	SAMEA2205113	ERX400584	ERR434309	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434309/ERR434309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434309/ERR434309_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434309/11657_5#51.cram	
PRJEB4681	SAMEA2205116	ERX400585	ERR434310	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434310/ERR434310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434310/ERR434310_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434310/11657_5#52.cram	
PRJEB4681	SAMEA2205131	ERX400586	ERR434311	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434311/ERR434311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434311/ERR434311_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434311/11657_5#53.cram	
PRJEB4681	SAMEA2205149	ERX400587	ERR434312	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434312/ERR434312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434312/ERR434312_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434312/11657_5#54.cram	
PRJEB4681	SAMEA2205164	ERX400588	ERR434313	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434313/ERR434313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434313/ERR434313_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434313/11657_5#55.cram	
PRJEB4681	SAMEA2205170	ERX400589	ERR434314	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434314/ERR434314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434314/ERR434314_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434314/11657_5#56.cram	
PRJEB4681	SAMEA2205174	ERX400590	ERR434315	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434315/ERR434315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434315/ERR434315_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434315/11657_5#57.cram	
PRJEB4681	SAMEA2205213	ERX400591	ERR434316	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434316/ERR434316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434316/ERR434316_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434316/11657_5#58.cram	
PRJEB4681	SAMEA2205214	ERX400592	ERR434317	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434317/ERR434317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434317/ERR434317_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434317/11657_5#59.cram	
PRJEB4681	SAMEA2205216	ERX400593	ERR434318	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434318/ERR434318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434318/ERR434318_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434318/11657_5#60.cram	
PRJEB4681	SAMEA2205228	ERX400594	ERR434319	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434319/ERR434319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434319/ERR434319_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434319/11657_5#61.cram	
PRJEB4681	SAMEA2205251	ERX400595	ERR434320	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434320/ERR434320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434320/ERR434320_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434320/11657_5#62.cram	
PRJEB4681	SAMEA2205257	ERX400596	ERR434321	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434321/ERR434321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434321/ERR434321_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434321/11657_5#63.cram	
PRJEB4681	SAMEA2205264	ERX400597	ERR434322	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434322/ERR434322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434322/ERR434322_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434322/11657_5#64.cram	
PRJEB4681	SAMEA2205267	ERX400598	ERR434323	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434323/ERR434323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434323/ERR434323_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434323/11657_5#65.cram	
PRJEB4681	SAMEA2205268	ERX400599	ERR434324	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434324/ERR434324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434324/ERR434324_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434324/11657_5#66.cram	
PRJEB4681	SAMEA2205269	ERX400600	ERR434325	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434325/ERR434325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434325/ERR434325_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434325/11657_5#67.cram	
PRJEB4681	SAMEA2205274	ERX400601	ERR434326	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434326/ERR434326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434326/ERR434326_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434326/11657_5#68.cram	
PRJEB4681	SAMEA2205285	ERX400602	ERR434327	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434327/ERR434327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434327/ERR434327_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434327/11657_5#69.cram	
PRJEB4681	SAMEA2205286	ERX400603	ERR434328	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434328/ERR434328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434328/ERR434328_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434328/11657_5#70.cram	
PRJEB4681	SAMEA2205337	ERX400604	ERR434329	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434329/ERR434329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434329/ERR434329_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434329/11657_5#71.cram	
PRJEB4681	SAMEA2205360	ERX400605	ERR434330	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434330/ERR434330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434330/ERR434330_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434330/11657_5#72.cram	
PRJEB4681	SAMEA2205377	ERX400606	ERR434331	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434331/ERR434331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434331/ERR434331_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434331/11657_5#73.cram	
PRJEB4681	SAMEA2205392	ERX400607	ERR434332	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434332/ERR434332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434332/ERR434332_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434332/11657_5#74.cram	
